Epochs,Perplexity,Curriculum
1,620.45544,wikitext-2 baseline
2,451.85522,wikitext-2 baseline
3,358.74582,wikitext-2 baseline
4,303.83347,wikitext-2 baseline
5,241.15233,wikitext-2 baseline
6,221.38237,wikitext-2 baseline
7,195.55809,wikitext-2 baseline
8,168.30266,wikitext-2 baseline
9,162.16602,wikitext-2 baseline
10,151.25607,wikitext-2 baseline
1,758.29285,wikitext-2 CRS
2,507.58508,wikitext-2 CRS
3,445.0215,wikitext-2 CRS
4,424.0015,wikitext-2 CRS
5,364.40637,wikitext-2 CRS
6,395.8324,wikitext-2 CRS
7,213.29416,wikitext-2 CRS
8,181.99895,wikitext-2 CRS
9,163.70233,wikitext-2 CRS
10,153.26689,wikitext-2 CRS
