Batches,Baseline,Random,Dependency,Part of Speech,Unigram,Bigram,Trigram,Length
0,172216.89,165166.36,207358.94,215021.83,161038.83,172513.92,154467.16,225595.53
100,17752.129,14454.376,18175.467,22662.42,16281.712,14672.355,17838.291,21663.129
200,9440.708,9769.283,12327.0205,13543.414,9924.168,8290.118,10426.916,15506.72
300,8046.8833,7058.333,8941.258,12681.636,8252.508,9401.705,8486.866,11837.9
400,7659.1626,6817.952,8116.7896,9643.348,7333.8936,7104.682,8532.874,14069.687
500,17995.625,6471.1143,7051.9346,8360.009,6820.6313,6963.977,7218.733,10314.543
600,6822.212,6106.6436,6559.931,7686.0747,7022.727,6500.0293,6966.0825,10291.885
700,17029.94,5843.533,6919.971,6740.0117,13876.875,6019.3403,7615.919,9683.603
800,6325.329,5509.364,5746.8403,6492.756,6293.7993,5675.6206,6490.2056,9585.646
900,6180.572,5735.0967,6853.7417,6257.095,5582.361,5015.897,6265.5615,8510.857
1000,5201.5063,5340.5356,6016.3335,6763.7905,5556.9814,5671.7197,6699.2856,8763.411
1100,5922.0986,7981.178,6031.4995,5781.1416,5672.4116,5543.3364,6820.982,7628.734
1200,7504.6416,4498.846,5527.9004,6176.282,5555.3867,5341.254,5271.304,9265.033
1300,9524.957,5150.7715,6403.761,6860.242,6320.7344,9381.356,5810.2305,8530.71
1400,6117.8237,7766.959,5489.638,8058.786,4760.8003,7997.6357,15470.428,10192.227
1500,12209.286,14478.396,5555.3604,6639.2583,11870.642,50514.04,5882.5894,7210.841
1600,11165.057,5065.396,5965.695,8284.104,20614.662,10279.711,10198.109,10114.675
1700,16563.809,22438.63,6070.104,9168.329,8410.966,7793.4395,8148.2773,8040.5845
1800,11889.606,7600.4277,6984.522,6836.841,36763.805,42040.473,24620.738,10472.907
1900,17304.26,12271.821,5551.2456,5711.3374,9572.392,107992.695,32649.541,10064.726
2000,20918.775,26494.648,7118.2124,7859.69,24109.072,28076.713,49109.527,9722.515
2100,20992.18,21873.445,7361.074,7938.744,24785.812,128563.016,19978.947,11637.645
2200,5439.09,29953.305,4925.8477,8127.114,8477.693,254906.06,16281.976,9188.663
2300,15406.221,15651.802,7203.7197,5258.265,29320.525,19536.08,31459.516,6698.7114
2400,5505.089,51011.457,6021.017,6700.6987,41768.125,190713.81,109279.03,9499.203
2500,27145.594,102160.445,5934.129,7351.9116,40052.758,16625.783,28730.557,9936.309
2600,16985.74,118023.89,5448.081,8072.7627,18126.652,57096.734,32798.09,10838.184
2700,32159.182,119965.97,6966.2026,6144.6387,37110.21,86387.07,79481.336,10947.643
2800,31417.871,86970.59,5826.9,8385.137,34130.03,75165.63,76327.33,11602.87
2900,14614.763,121529.75,6327.0547,6687.796,13573.451,62818.87,58189.617,8543.565
3000,37013.508,72880.484,5346.401,6942.903,13903.449,72515.875,59559.203,13702.55
3100,26318.72,191492.94,5910.706,8088.1753,20284.438,42139.34,66478.91,9224.82
