batches,Baseline,Random,Dependency,Part of Speech,Unigram,Bigram,Trigram,Length
0,19498.275,21163.441,26654.947,26528.352,22053.117,19535.65,20830.924,29933.744
100,5600.459,5461.039,5730.6133,5215.405,5412.1475,5164.0166,5130.0103,6159.2065
200,8412.964,5335.1855,4173.7285,4526.756,4801.2114,4104.102,4100.6396,5091.564
300,10206.759,5121.9688,4350.7573,4552.2114,5111.258,4242.2583,5154.7417,4209.9907
400,9694.969,4656.295,4411.5825,4181.944,4576.2124,4606.979,4085.8408,4266.3574
500,4263.7017,4187.064,3975.3137,4448.9185,4315.6685,3466.2854,3425.474,6061.277
600,4637.823,4007.2302,3804.034,5325.8213,3865.4978,3853.1204,3574.217,5577.3745
700,3670.0974,4142.923,3831.932,3942.862,9677.842,3230.582,3502.6528,4219.2236
800,3221.3464,3970.7632,3749.8252,4645.618,4742.95,2954.2996,3138.1858,4247.958
900,3959.1055,5503.0464,4688.382,5068.2812,3871.6812,3856.1196,12232.666,4298.9907
1000,3132.2595,8124.7505,4383.8687,4416.356,4699.026,3397.7734,8652.374,3856.1528
1100,13849.47,7308.988,4047.7976,4257.9604,6621.7236,5047.275,5068.2134,5205.3677
1200,6503.5146,5181.124,4269.1577,7781.854,17770.95,3666.0781,10005.945,4551.86
1300,7178.955,19722.453,5696.2915,3884.6147,14288.976,8585.893,10586.632,4248.825
1400,5806.94,7711.4126,3276.6187,4795.9487,11649.693,14055.363,9180.324,4275.567
1500,7896.5273,9227.372,6222.8237,4230.453,7551.371,12330.948,57175.418,5575.008
1600,21873.656,36947.875,4324.4976,7872.9756,14629.823,12650.025,23212.857,5090.1367
1700,12979.712,20851.81,5498.2417,5195.9536,5852.289,28631.844,56772.426,5290.8657
1800,34403.652,24371.055,4613.688,6938.4214,17223.34,10833.46,56383.875,5559.3936
1900,45148.418,12774.935,4005.4304,7535.2847,21746.754,32077.182,50338.7,3713.533
2000,28062.445,62992.668,4582.9644,6047.2583,26790.604,29896.4,25035.541,6571.44
2100,28706.4,105545.59,3806.545,8146.35,42521.555,68461.61,36110.297,5294.5195
2200,42284.38,62399.3,5332.897,4722.252,19101.404,78817.77,111061.555,8789.567
2300,211236.3,89274.6,4591.3203,6133.123,60930.05,57298.29,53007.47,7117.3228
2400,23207.455,115620.84,4978.6865,5435.7505,44079.805,49065.992,81409.19,6686.693
